,corr
CH_pfx_x_mean_5g_ratio,-0.05867544827592668
CS_pfx_x_mean_5g_ratio,
CU_pfx_x_mean_5g_ratio,-0.004734495148366231
FA_pfx_x_mean_5g_ratio,
FC_pfx_x_mean_5g_ratio,0.0017803422625040722
FF_pfx_x_mean_5g_ratio,0.020708468295524196
FS_pfx_x_mean_5g_ratio,0.0027647690501359456
KC_pfx_x_mean_5g_ratio,0.16455959805988296
KN_pfx_x_mean_5g_ratio,
PO_pfx_x_mean_5g_ratio,
SI_pfx_x_mean_5g_ratio,-0.015770938042340837
SL_pfx_x_mean_5g_ratio,0.005133486294925926
ST_pfx_x_mean_5g_ratio,-0.006002580259125035
SV_pfx_x_mean_5g_ratio,
CH_pfx_x_std_5g_ratio,-0.009310846031172023
CS_pfx_x_std_5g_ratio,
CU_pfx_x_std_5g_ratio,-0.00799148545220625
FA_pfx_x_std_5g_ratio,
FC_pfx_x_std_5g_ratio,-0.07099540709919991
FF_pfx_x_std_5g_ratio,-0.0016353820742783989
FS_pfx_x_std_5g_ratio,0.02238731769151823
KC_pfx_x_std_5g_ratio,0.039636411468479
KN_pfx_x_std_5g_ratio,
PO_pfx_x_std_5g_ratio,
SI_pfx_x_std_5g_ratio,0.01332308428559517
SL_pfx_x_std_5g_ratio,0.010104541895873648
ST_pfx_x_std_5g_ratio,0.003389657222803494
SV_pfx_x_std_5g_ratio,
CH_pfx_z_mean_5g_ratio,-0.0027836802212663795
CS_pfx_z_mean_5g_ratio,
CU_pfx_z_mean_5g_ratio,-0.00822846842753771
FA_pfx_z_mean_5g_ratio,
FC_pfx_z_mean_5g_ratio,0.06707865736316584
FF_pfx_z_mean_5g_ratio,0.02239686720573049
FS_pfx_z_mean_5g_ratio,0.007838486672014998
KC_pfx_z_mean_5g_ratio,0.27744234769586806
KN_pfx_z_mean_5g_ratio,
PO_pfx_z_mean_5g_ratio,
SI_pfx_z_mean_5g_ratio,-0.004894356372777306
SL_pfx_z_mean_5g_ratio,-0.023480238634098167
ST_pfx_z_mean_5g_ratio,5.800794052289465e-05
SV_pfx_z_mean_5g_ratio,
CH_pfx_z_std_5g_ratio,0.009023904608315836
CS_pfx_z_std_5g_ratio,
CU_pfx_z_std_5g_ratio,-0.01640777233560396
FA_pfx_z_std_5g_ratio,
FC_pfx_z_std_5g_ratio,-0.040383196024767525
FF_pfx_z_std_5g_ratio,-0.040034395791947015
FS_pfx_z_std_5g_ratio,0.012111302683300991
KC_pfx_z_std_5g_ratio,0.153240148614272
KN_pfx_z_std_5g_ratio,
PO_pfx_z_std_5g_ratio,
SI_pfx_z_std_5g_ratio,0.00332005885106305
SL_pfx_z_std_5g_ratio,-0.01733927520148903
ST_pfx_z_std_5g_ratio,-0.011215458956738315
SV_pfx_z_std_5g_ratio,
CH_release_pos_x_mean_5g_ratio,0.02710840328296592
CS_release_pos_x_mean_5g_ratio,
CU_release_pos_x_mean_5g_ratio,0.0029192525618323023
FA_release_pos_x_mean_5g_ratio,
FC_release_pos_x_mean_5g_ratio,-0.00620063240978117
FF_release_pos_x_mean_5g_ratio,0.002251819925679734
FS_release_pos_x_mean_5g_ratio,-0.04043146904442927
KC_release_pos_x_mean_5g_ratio,-0.04323546021867499
KN_release_pos_x_mean_5g_ratio,
PO_release_pos_x_mean_5g_ratio,
SI_release_pos_x_mean_5g_ratio,0.005816750894791827
SL_release_pos_x_mean_5g_ratio,-0.016996476941101683
ST_release_pos_x_mean_5g_ratio,-0.0009886929391704604
SV_release_pos_x_mean_5g_ratio,
CH_release_pos_x_std_5g_ratio,-0.0512140494856291
CS_release_pos_x_std_5g_ratio,
CU_release_pos_x_std_5g_ratio,-0.033323085113034036
FA_release_pos_x_std_5g_ratio,
FC_release_pos_x_std_5g_ratio,-0.04293297334178878
FF_release_pos_x_std_5g_ratio,-0.027840290886349477
FS_release_pos_x_std_5g_ratio,0.015903730660865083
KC_release_pos_x_std_5g_ratio,-0.030628303165318695
KN_release_pos_x_std_5g_ratio,
PO_release_pos_x_std_5g_ratio,
SI_release_pos_x_std_5g_ratio,-0.04214472688527628
SL_release_pos_x_std_5g_ratio,0.037962229078668266
ST_release_pos_x_std_5g_ratio,-0.12686675833583483
SV_release_pos_x_std_5g_ratio,
CH_release_pos_y_mean_5g_ratio,0.029169812882145447
CS_release_pos_y_mean_5g_ratio,
CU_release_pos_y_mean_5g_ratio,0.05514626737683469
FA_release_pos_y_mean_5g_ratio,
FC_release_pos_y_mean_5g_ratio,0.02719111169526782
FF_release_pos_y_mean_5g_ratio,0.05884348201720419
FS_release_pos_y_mean_5g_ratio,-0.011623304219022046
KC_release_pos_y_mean_5g_ratio,-0.02827764574091279
KN_release_pos_y_mean_5g_ratio,
PO_release_pos_y_mean_5g_ratio,
SI_release_pos_y_mean_5g_ratio,0.024547483225594493
SL_release_pos_y_mean_5g_ratio,0.028558065182093112
ST_release_pos_y_mean_5g_ratio,0.02424714234672769
SV_release_pos_y_mean_5g_ratio,
CH_release_pos_y_std_5g_ratio,-0.028890825799087402
CS_release_pos_y_std_5g_ratio,
CU_release_pos_y_std_5g_ratio,-0.0166066023356474
FA_release_pos_y_std_5g_ratio,
FC_release_pos_y_std_5g_ratio,-0.057569875928563795
FF_release_pos_y_std_5g_ratio,-0.017176510072370883
FS_release_pos_y_std_5g_ratio,-0.03893713166431534
KC_release_pos_y_std_5g_ratio,-0.04758074418450959
KN_release_pos_y_std_5g_ratio,
PO_release_pos_y_std_5g_ratio,
SI_release_pos_y_std_5g_ratio,-0.03351463009787432
SL_release_pos_y_std_5g_ratio,-0.0011738867070109078
ST_release_pos_y_std_5g_ratio,0.026176189759410298
SV_release_pos_y_std_5g_ratio,
CH_release_pos_z_mean_5g_ratio,-0.015535765290184364
CS_release_pos_z_mean_5g_ratio,
CU_release_pos_z_mean_5g_ratio,0.00842463324183171
FA_release_pos_z_mean_5g_ratio,
FC_release_pos_z_mean_5g_ratio,-0.0003157405324774791
FF_release_pos_z_mean_5g_ratio,-0.001096489585364389
FS_release_pos_z_mean_5g_ratio,0.05835323938871935
KC_release_pos_z_mean_5g_ratio,0.058754282266754276
KN_release_pos_z_mean_5g_ratio,
PO_release_pos_z_mean_5g_ratio,
SI_release_pos_z_mean_5g_ratio,-0.026945807691867378
SL_release_pos_z_mean_5g_ratio,0.022923931566526785
ST_release_pos_z_mean_5g_ratio,-0.02182107672847127
SV_release_pos_z_mean_5g_ratio,
CH_release_pos_z_std_5g_ratio,-0.01622966359611031
CS_release_pos_z_std_5g_ratio,
CU_release_pos_z_std_5g_ratio,-0.014304269202132418
FA_release_pos_z_std_5g_ratio,
FC_release_pos_z_std_5g_ratio,-0.02772947423455262
FF_release_pos_z_std_5g_ratio,-0.07550006045411312
FS_release_pos_z_std_5g_ratio,-0.005262516965444251
KC_release_pos_z_std_5g_ratio,0.00517607927815416
KN_release_pos_z_std_5g_ratio,
PO_release_pos_z_std_5g_ratio,
SI_release_pos_z_std_5g_ratio,-0.02969786990753366
SL_release_pos_z_std_5g_ratio,0.00273554709334567
ST_release_pos_z_std_5g_ratio,-0.057864090679866045
SV_release_pos_z_std_5g_ratio,
CH_release_speed_count_5g_ratio,-0.05352279185149684
CS_release_speed_count_5g_ratio,
CU_release_speed_count_5g_ratio,-0.040119626803342176
FA_release_speed_count_5g_ratio,
FC_release_speed_count_5g_ratio,-0.02406125082685553
FF_release_speed_count_5g_ratio,0.005053743097847538
FS_release_speed_count_5g_ratio,0.03885690562734791
KC_release_speed_count_5g_ratio,0.025468074534391004
KN_release_speed_count_5g_ratio,
PO_release_speed_count_5g_ratio,
SI_release_speed_count_5g_ratio,-0.006726258470672019
SL_release_speed_count_5g_ratio,-0.012363165480658514
ST_release_speed_count_5g_ratio,-0.07259188235825673
SV_release_speed_count_5g_ratio,
CH_release_speed_max_5g_ratio,-0.043036542462226296
CS_release_speed_max_5g_ratio,
CU_release_speed_max_5g_ratio,-0.017993092611164496
FA_release_speed_max_5g_ratio,
FC_release_speed_max_5g_ratio,-0.07252249566419676
FF_release_speed_max_5g_ratio,0.0034037937654593582
FS_release_speed_max_5g_ratio,0.0195788059991417
KC_release_speed_max_5g_ratio,-0.00956162879739355
KN_release_speed_max_5g_ratio,
PO_release_speed_max_5g_ratio,
SI_release_speed_max_5g_ratio,-0.054859108107115695
SL_release_speed_max_5g_ratio,-0.02004295268650502
ST_release_speed_max_5g_ratio,-0.05619836186153293
