player_name,game_date,result,total_pitches,release_speed_mean_all,release_speed_std_all,release_speed_range_all,release_spin_rate_mean_all,release_spin_rate_std_all,release_spin_rate_range_all,release_extension_mean_all,release_extension_std_all,release_extension_range_all,release_pos_x_mean_all,release_pos_x_std_all,release_pos_x_range_all,release_pos_y_mean_all,release_pos_y_std_all,release_pos_y_range_all,release_pos_z_mean_all,release_pos_z_std_all,release_pos_z_range_all,pfx_x_mean_all,pfx_x_std_all,pfx_x_range_all,pfx_z_mean_all,pfx_z_std_all,pfx_z_range_all,spin_axis_mean_all,spin_axis_std_all,spin_axis_range_all,delta_run_exp_mean_all,delta_run_exp_std_all,delta_run_exp_range_all,pct_SI,SI_release_speed_mean,SI_release_speed_std,SI_release_spin_rate_mean,SI_release_spin_rate_std,SI_release_extension_mean,SI_release_extension_std,SI_release_pos_x_mean,SI_release_pos_x_std,SI_release_pos_y_mean,SI_release_pos_y_std,SI_release_pos_z_mean,SI_release_pos_z_std,SI_pfx_x_mean,SI_pfx_x_std,SI_pfx_z_mean,SI_pfx_z_std,SI_spin_axis_mean,SI_spin_axis_std,SI_delta_run_exp_mean,SI_delta_run_exp_std,pct_SL,SL_release_speed_mean,SL_release_speed_std,SL_release_spin_rate_mean,SL_release_spin_rate_std,SL_release_extension_mean,SL_release_extension_std,SL_release_pos_x_mean,SL_release_pos_x_std,SL_release_pos_y_mean,SL_release_pos_y_std,SL_release_pos_z_mean,SL_release_pos_z_std,SL_pfx_x_mean,SL_pfx_x_std,SL_pfx_z_mean,SL_pfx_z_std,SL_spin_axis_mean,SL_spin_axis_std,SL_delta_run_exp_mean,SL_delta_run_exp_std,pct_FF,FF_release_speed_mean,FF_release_speed_std,FF_release_spin_rate_mean,FF_release_spin_rate_std,FF_release_extension_mean,FF_release_extension_std,FF_release_pos_x_mean,FF_release_pos_x_std,FF_release_pos_y_mean,FF_release_pos_y_std,FF_release_pos_z_mean,FF_release_pos_z_std,FF_pfx_x_mean,FF_pfx_x_std,FF_pfx_z_mean,FF_pfx_z_std,FF_spin_axis_mean,FF_spin_axis_std,FF_delta_run_exp_mean,FF_delta_run_exp_std,pct_CH,CH_release_speed_mean,CH_release_speed_std,CH_release_spin_rate_mean,CH_release_spin_rate_std,CH_release_extension_mean,CH_release_extension_std,CH_release_pos_x_mean,CH_release_pos_x_std,CH_release_pos_y_mean,CH_release_pos_y_std,CH_release_pos_z_mean,CH_release_pos_z_std,CH_pfx_x_mean,CH_pfx_x_std,CH_pfx_z_mean,CH_pfx_z_std,CH_spin_axis_mean,CH_spin_axis_std,CH_delta_run_exp_mean,CH_delta_run_exp_std,pct_CU,CU_release_speed_mean,CU_release_speed_std,CU_release_spin_rate_mean,CU_release_spin_rate_std,CU_release_extension_mean,CU_release_extension_std,CU_release_pos_x_mean,CU_release_pos_x_std,CU_release_pos_y_mean,CU_release_pos_y_std,CU_release_pos_z_mean,CU_release_pos_z_std,CU_pfx_x_mean,CU_pfx_x_std,CU_pfx_z_mean,CU_pfx_z_std,CU_spin_axis_mean,CU_spin_axis_std,CU_delta_run_exp_mean,CU_delta_run_exp_std,pct_ST,ST_release_speed_mean,ST_release_speed_std,ST_release_spin_rate_mean,ST_release_spin_rate_std,ST_release_extension_mean,ST_release_extension_std,ST_release_pos_x_mean,ST_release_pos_x_std,ST_release_pos_y_mean,ST_release_pos_y_std,ST_release_pos_z_mean,ST_release_pos_z_std,ST_pfx_x_mean,ST_pfx_x_std,ST_pfx_z_mean,ST_pfx_z_std,ST_spin_axis_mean,ST_spin_axis_std,ST_delta_run_exp_mean,ST_delta_run_exp_std,pct_FC,FC_release_speed_mean,FC_release_speed_std,FC_release_spin_rate_mean,FC_release_spin_rate_std,FC_release_extension_mean,FC_release_extension_std,FC_release_pos_x_mean,FC_release_pos_x_std,FC_release_pos_y_mean,FC_release_pos_y_std,FC_release_pos_z_mean,FC_release_pos_z_std,FC_pfx_x_mean,FC_pfx_x_std,FC_pfx_z_mean,FC_pfx_z_std,FC_spin_axis_mean,FC_spin_axis_std,FC_delta_run_exp_mean,FC_delta_run_exp_std,pct_KC,KC_release_speed_mean,KC_release_speed_std,KC_release_spin_rate_mean,KC_release_spin_rate_std,KC_release_extension_mean,KC_release_extension_std,KC_release_pos_x_mean,KC_release_pos_x_std,KC_release_pos_y_mean,KC_release_pos_y_std,KC_release_pos_z_mean,KC_release_pos_z_std,KC_pfx_x_mean,KC_pfx_x_std,KC_pfx_z_mean,KC_pfx_z_std,KC_spin_axis_mean,KC_spin_axis_std,KC_delta_run_exp_mean,KC_delta_run_exp_std,pct_FS,FS_release_speed_mean,FS_release_speed_std,FS_release_spin_rate_mean,FS_release_spin_rate_std,FS_release_extension_mean,FS_release_extension_std,FS_release_pos_x_mean,FS_release_pos_x_std,FS_release_pos_y_mean,FS_release_pos_y_std,FS_release_pos_z_mean,FS_release_pos_z_std,FS_pfx_x_mean,FS_pfx_x_std,FS_pfx_z_mean,FS_pfx_z_std,FS_spin_axis_mean,FS_spin_axis_std,FS_delta_run_exp_mean,FS_delta_run_exp_std,pct_SV,SV_release_speed_mean,SV_release_speed_std,SV_release_spin_rate_mean,SV_release_spin_rate_std,SV_release_extension_mean,SV_release_extension_std,SV_release_pos_x_mean,SV_release_pos_x_std,SV_release_pos_y_mean,SV_release_pos_y_std,SV_release_pos_z_mean,SV_release_pos_z_std,SV_pfx_x_mean,SV_pfx_x_std,SV_pfx_z_mean,SV_pfx_z_std,SV_spin_axis_mean,SV_spin_axis_std,SV_delta_run_exp_mean,SV_delta_run_exp_std
"Carrasco, Carlos",3/29/2025,0.00,40,88.5925,3.774909576,16.8,2035.55,383.0924739,1385,6.8875,0.099195482,0.4,-1.24225,0.154147573,0.51,53.61025,0.098981674,0.44,5.84125,0.089934093,0.4,-0.49175,0.568375497,1.98,0.49025,0.371183053,1.36,207.2,38.37213198,187,0.04645,0.295193978,1.672,0.325,90.90769231,0.446209104,2051.230769,62.27647208,6.884615385,0.080064077,-1.207692308,0.12014948,53.61461538,0.056216158,5.840769231,0.071000181,-1.05,0.202813543,0.389230769,0.159763447,224.0769231,5.040858698,0.016615385,0.300422075,0.25,85.35,0.880971686,2391.8,67.24879181,6.91,0.099442893,-1.328,0.107785796,53.579,0.10774971,5.766,0.029514591,0.261,0.069033003,0.389,0.135683455,171,36.06475657,0.0068,0.144602751,0.225,92.65555556,0.604382145,2163.777778,41.21825378,6.833333333,0.111803399,-1.08,0.121860576,53.66222222,0.10860223,5.927777778,0.04867694,-0.636666667,0.294321253,1.024444444,0.117485224,221.1111111,4.986091767,0.136,0.49402758,0.175,85.42857143,0.79102104,1280.285714,111.9727858,6.928571429,0.111269728,-1.404285714,0.047559487,53.57571429,0.130237878,5.8,0.057735027,-0.505714286,0.173479792,0.232857143,0.420504232,231,8.563488386,0.046,0.111725855,0.025,76.5,,2402,,6.9,,-1.16,,53.64,,6.11,,0.64,,-0.19,,58,,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carrasco, Carlos",4/3/2025,0.00,82,85.48536585,4.769945051,17.5,2026.914634,512.7427628,1649,6.832926829,0.103105936,0.5,-1.263292683,0.109792789,0.5,53.66463415,0.094870869,0.51,5.897317073,0.075703267,0.38,-0.215121951,0.68403892,2.58,0.28195122,0.438745234,1.94,180.1707317,71.11507018,227,-0.001402439,0.197483668,1.123,0.170731707,90.34285714,0.689162575,2046.357143,82.79223964,6.835714286,0.092878273,-1.184285714,0.081779656,53.66714286,0.077203883,5.9,0.044202332,-1.257142857,0.214599038,0.45,0.172715863,227,4.803844614,-0.0635,0.203752773,0.243902439,84.41,1.299757062,2407.35,77.07021747,6.885,0.0933302,-1.2905,0.085561612,53.6075,0.075245213,5.8295,0.043946738,0.3455,0.151812731,0.2475,0.287033374,164.1,52.32077176,0.06,0.250613563,0.158536585,91.32307692,0.826794862,2107.076923,111.3982806,6.8,0.091287093,-1.187692308,0.105605701,53.69846154,0.083251242,5.954615385,0.051577674,-0.397692308,0.201252488,0.942307692,0.184759025,219.6153846,7.974317751,-0.064615385,0.085717111,0.243902439,85.385,0.95986567,1197,79.20127591,6.835,0.122581874,-1.3655,0.084259936,53.6655,0.120458554,5.8605,0.05052097,-0.5625,0.150748134,0.2405,0.176470513,233.1,7.697573097,-0.0125,0.190327004,0.182926829,77.46,1.074908634,2538.6,99.75169171,6.786666667,0.083380939,-1.23,0.075403676,53.708,0.073988416,5.984666667,0.056929363,0.631333333,0.248563492,-0.346,0.207116254,53.13333333,9.425396291,0.044266667,0.176155964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carrasco, Carlos",4/8/2025,0.00,59,86.73050847,4.529681965,15.2,2016.779661,310.4027455,1490,6.627118644,0.170020798,1.1,-1.354915254,0.14009077,0.6,53.88050847,0.171930456,1.1,5.724915254,0.087106215,0.35,-0.433220339,0.709911215,2.46,0.348135593,0.414847187,1.85,188.5932203,63.16920863,201,0.053169492,0.370371722,1.946,0.372881356,89.99090909,0.741240332,1925.5,65.57129889,6.604545455,0.155769282,-1.26,0.124976188,53.89772727,0.155438912,5.731818182,0.073136296,-1.19,0.191733943,0.329090909,0.207201514,225.0454545,7.081009295,0.005136364,0.379362911,0.220338983,83.56153846,1.159409664,2217.230769,72.77036238,6.723076923,0.255453343,-1.453846154,0.121486519,53.78307692,0.252533318,5.662307692,0.056884949,0.281538462,0.132592493,0.340769231,0.194484855,161.7692308,44.84260223,0.091769231,0.364715449,0.186440678,90.78181818,0.835246289,2027.454545,83.8586473,6.581818182,0.075075719,-1.354545455,0.124367491,53.93181818,0.076396097,5.759090909,0.070207485,-0.442727273,0.123214521,0.949090909,0.167299405,221.9090909,5.00908266,0.198909091,0.532868737,0.084745763,85.54,0.433589668,1216,101.205237,6.54,0.134164079,-1.448,0.051672043,53.982,0.14131525,5.662,0.049193496,-0.588,0.140249777,0.07,0.199499373,238.2,5.403702434,-0.0838,0.128449212,0.118644068,78.11428571,0.90816403,2448.285714,76.03883719,6.628571429,0.075592895,-1.371428571,0.08802056,53.88428571,0.09015859,5.838571429,0.053049842,0.558571429,0.127204372,-0.331428571,0.311898946,54.85714286,6.768273326,0.005714286,0.054649533,0.016949153,77.9,,2285,,6.8,,-1.58,,53.67,,5.53,,0.86,,0.4,,57,,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carrasco, Carlos",4/14/2025,0.00,79,85.87848101,4.589499467,16.6,2021.772152,480.0283632,1749,6.863291139,0.149509639,0.7,-1.340506329,0.130893368,0.6,53.6335443,0.146454141,0.65,5.923417722,0.098578175,0.47,-0.144303797,0.64655038,2.65,0.240506329,0.449520824,1.98,185.2278481,66.2622895,221,-0.006253165,0.31362363,2.906,0.164556962,90.69230769,0.589436933,2036.615385,62.46404094,6.823076923,0.13634421,-1.293846154,0.093678391,53.68615385,0.133137677,5.951538462,0.077119621,-1.078461538,0.240237596,0.394615385,0.131187867,222.9230769,2.8419928,-0.058153846,0.175074197,0.253164557,84.07,0.89566206,2307,76.86488487,6.83,0.205452005,-1.405,0.115371254,53.6645,0.192530927,5.873,0.055164825,0.304,0.178101095,0.22,0.129289557,169.2,25.15133145,0.06655,0.59212734,0.189873418,91.28666667,0.746292423,2128.866667,58.28730157,6.846666667,0.09904304,-1.248,0.114965833,53.658,0.103178071,6.004666667,0.050971514,-0.192666667,0.182501142,0.855333333,0.127552044,219.2,6.037975063,-0.006066667,0.11616212,0.227848101,85.53333333,0.599018806,1212.722222,126.7632372,6.894444444,0.110996673,-1.450555556,0.078175686,53.59444444,0.110837572,5.824444444,0.071556002,-0.582222222,0.180246744,0.192222222,0.226106574,242.8888889,10.75879333,-0.039277778,0.110125493,0.164556962,78.08461538,1.018042365,2564.769231,79.79259975,6.930769231,0.143669849,-1.242307692,0.093999454,53.55923077,0.139848819,6.016153846,0.06898532,0.762307692,0.251003116,-0.524615385,0.204271689,53.15384615,5.367279787,-0.020846154,0.083698712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carrasco, Carlos",4/19/2025,0.00,75,89.14933333,4.031744755,14.8,2250.893333,308.7222391,1555,6.588,0.11735831,0.7,-1.209333333,0.141510513,0.63,53.91573333,0.114173568,0.69,5.801733333,0.093900081,0.36,-0.406133333,0.548851118,2.11,0.5868,0.423850305,1.81,203.2933333,37.50631418,191,0.024573333,0.231398228,1.152,0.186666667,91.83571429,0.686806593,2179.142857,62.94913349,6.6,0.05547002,-1.182142857,0.087896668,53.90785714,0.06623717,5.801428571,0.07367884,-1.223571429,0.181684729,0.345,0.306938982,221.0714286,5.837073631,0.054,0.325881526,0.333333333,84.804,1.592293943,2425.64,91.60280199,6.616,0.128062485,-1.3028,0.102001634,53.8824,0.116378692,5.724,0.055752429,0.1848,0.18621493,0.342,0.214048281,174.2,42.09315067,0.0354,0.199972706,0.386666667,92.7,0.723088613,2314.344828,93.93587321,6.568965517,0.125651014,-1.118275862,0.134352122,53.94206897,0.121900994,5.883448276,0.055438245,-0.487586207,0.18438421,1.002068966,0.226153856,218.3103448,3.947001106,0.038275862,0.215227271,0.08,85.46666667,0.913600934,1308.166667,113.0352452,6.533333333,0.13662601,-1.34,0.094657277,53.95,0.14832397,5.72,0.079749608,-0.74,0.108258949,0.341666667,0.379811357,235.1666667,9.82683401,-0.154666667,0.149465269,0.013333333,79.3,,2703,,6.6,,-1.11,,53.89,,5.87,,0.63,,-0.48,,55,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carrasco, Carlos",4/25/2025,0.00,67,87.1,4.089935911,15,2087.208955,386.1505648,1538,6.956716418,0.095701367,0.5,-1.450298507,0.140841305,0.72,53.54552239,0.090875932,0.41,5.842835821,0.082880088,0.39,-0.290149254,0.683273078,2.79,0.276716418,0.440744508,2.01,193.0149254,57.51350106,212,-0.023104478,0.171420547,1.07,0.328358209,90.71363636,0.758002045,2038.5,55.119567,6.922727273,0.075162162,-1.422727273,0.107711335,53.57636364,0.076254302,5.861818182,0.074427105,-1.037727273,0.203515106,0.338636364,0.16697007,223.0909091,5.951463133,0.048090909,0.240014267,0.313432836,84.1047619,1.011670001,2314.142857,266.9009715,7.023809524,0.088908728,-1.50047619,0.13399538,53.48095238,0.079994047,5.784761905,0.037499206,0.264761905,0.161481239,0.190952381,0.265177389,161.7142857,45.3466017,-0.085190476,0.106834741,0.164179104,91.04545455,0.951171526,2163.454545,53.68866479,6.918181818,0.08738629,-1.373636364,0.135297652,53.59272727,0.076562512,5.888181818,0.054372453,-0.332727273,0.195759593,0.923636364,0.152202019,221.3636364,4.365151252,-0.072,0.131081654,0.119402985,85,0.769043933,1225.875,86.94733628,6.975,0.070710678,-1.5875,0.102225242,53.5275,0.083623305,5.785,0.057817447,-0.495,0.163270153,0.07125,0.193201412,244.125,11.20506901,-0.017125,0.104287292,0.074626866,78.46,0.844393273,2558.8,81.17696718,6.88,0.109544512,-1.31,0.129421791,53.606,0.09154234,5.996,0.051283526,1.09,0.229346899,-0.73,0.148828761,48,2,0.0224,0.0775229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carrasco, Carlos",4/30/2025,0.00,66,86.18636364,3.707036401,16.1,1959.136364,474.2173434,1578,6.540909091,0.114994679,0.6,-1.391515152,0.140178375,0.62,53.96121212,0.1132664,0.58,5.877575758,0.088579571,0.4,-0.383484848,0.632848244,2.45,0.337727273,0.414030082,1.87,199.530303,49.73072714,213,0.041045455,0.279026187,1.809,0.212121212,90.26428571,0.498624482,2039.5,59.30073291,6.571428571,0.082542031,-1.302142857,0.129209345,53.93785714,0.087457996,5.909285714,0.078393905,-1.222857143,0.184450476,0.416428571,0.198091166,223.7857143,6.58878501,0.036,0.238966686,0.333333333,84,1.346954236,2332.545455,68.14880586,6.509090909,0.086789789,-1.409090909,0.099182808,53.99227273,0.103874091,5.850454545,0.062371947,0.194545455,0.179489415,0.325454545,0.284198577,168.3636364,37.05150271,0.041772727,0.24975358,0.136363636,91.21111111,0.745728577,2151.444444,54.90243872,6.511111111,0.078173596,-1.307777778,0.144376052,53.98555556,0.065404723,5.933333333,0.087321246,-0.484444444,0.207190197,1.047777778,0.148557882,218.5555556,5.939509894,0.223111111,0.509335215,0.257575758,84.71176471,0.961692748,1197.352941,110.737833,6.588235294,0.161564047,-1.488823529,0.138061687,53.91411765,0.1484949,5.845882353,0.060317786,-0.654117647,0.220795687,0.092352941,0.21582775,240.4117647,7.673483755,-0.043764706,0.176850406,0.060606061,78.9,2.457641145,2429,69.59885057,6.475,0.125830574,-1.3825,0.113834675,54.0175,0.109962115,5.925,0.21977261,0.7525,0.160286202,-0.425,0.109696551,69.5,20.24022398,0.0055,0.046579681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carrasco, Carlos",5/4/2025,0.00,46,86.62826087,2.896178558,8.5,1865.956522,451.4258869,1281,6.868888889,0.150487424,0.7,-1.329782609,0.12940014,0.56,53.63804348,0.16505379,0.88,5.927608696,0.07448146,0.28,-0.414130435,0.437114661,1.77,0.487173913,0.459635909,1.41,217.7826087,24.43304961,134,-0.005717391,0.178311795,0.834,0.108695652,89.18,0.294957624,2029.6,50.57964017,6.86,0.230217289,-1.212,0.119874935,53.63,0.233559414,5.974,0.072318739,-1.17,0.13,0.498,0.065345237,219,5.656854249,-0.0362,0.130144919,0.239130435,84.23636364,0.965683931,2290.636364,100.7425161,7,0.105409255,-1.377272727,0.103256081,53.55545455,0.219424868,5.892727273,0.063732395,0.187272727,0.182925718,0.494545455,0.175633917,190,30.19271435,0.004,0.101408086,0.326086957,90,0.62220805,2124.6,53.23640001,6.753333333,0.106009883,-1.253333333,0.098609378,53.73866667,0.099632659,5.971333333,0.04580497,-0.412666667,0.208205485,1.004,0.128107098,215.7333333,5.921711464,-0.020533333,0.189602165,0.326086957,84.16,0.594978991,1241.333333,56.946926,6.9,0.1,-1.410666667,0.111256888,53.60066667,0.099675665,5.894,0.079713774,-0.604666667,0.122233189,-0.038666667,0.238473319,239.8,9.622889379,0.012133333,0.230395581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carrasco, Carlos",7/31/2025,0.00,95,87,4.252208437,17.8,2097.757895,418.4737648,1659,6.584210526,0.131534147,0.7,-1.139789474,0.132704911,0.61,53.91915789,0.126319951,0.63,5.903052632,0.072318352,0.36,-0.462315789,0.628076179,2.73,0.439894737,0.485967985,2.2,195.0315789,57.07208071,210,0.016,0.306814866,2.586,0.147368421,90.85714286,0.694721068,2045.071429,90.62727072,6.535714286,0.127744594,-1.158571429,0.141195835,53.975,0.11147611,5.898571429,0.036131627,-1.447857143,0.230022694,0.472142857,0.159623527,225.8571429,5.722521538,0.008714286,0.300735362,0.336842105,84.2,1.671198141,2366.03125,77.63291802,6.63125,0.155413081,-1.1259375,0.120986786,53.871875,0.157202099,5.8775,0.06211332,0.0846875,0.142986225,0.370625,0.23586406,170.40625,47.94140198,-0.00528125,0.18662784,0.263157895,91.856,0.754475535,2175,83.16649967,6.568,0.09,-1.0828,0.091447617,53.9368,0.081584312,5.9484,0.06059978,-0.6192,0.218840124,1.064,0.118848643,221.72,5.054041287,0.01008,0.48364294,0.178947368,85.32352941,0.848181446,1290,76.05590049,6.623529412,0.09701425,-1.277647059,0.0893399,53.87647059,0.081543024,5.844705882,0.041550819,-0.864117647,0.160587158,0.014705882,0.131011338,237.4705882,5.569084833,0.065705882,0.216667304,0.073684211,78.81428571,1.638524307,2662.571429,124.4532806,6.428571429,0.048795004,-1.034285714,0.141875197,54.06428571,0.028199966,6.008571429,0.07174691,0.544285714,0.308753253,-0.504285714,0.227512428,47.57142857,2.878491669,0.028285714,0.167886583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carrasco, Carlos",8/7/2025,0.00,103,84.89126214,4.88170066,17.3,1932.145631,529.7425458,1733,6.666990291,0.165913011,0.8,-1.256116505,0.12594142,0.67,53.83106796,0.165155379,0.72,6.018640777,0.081842131,0.36,-0.418252427,0.664298874,2.61,0.226796117,0.514799054,2.15,196.5436893,71.31506684,213,0.012504854,0.22216854,1.462,0.262135922,89.52222222,0.696327362,2087.222222,50.35132978,6.685185185,0.09885383,-1.235555556,0.114432827,53.80888889,0.102744393,6.007037037,0.079605509,-1.09,0.144621522,0.464814815,0.217421434,225.1111111,4.893742734,0.052444444,0.341090371,0.097087379,85.18,0.921110441,2290,68.39103255,6.68,0.18135294,-1.246,0.085401015,53.817,0.188328909,5.996,0.047422451,-0.064,0.193114819,0.593,0.162004801,209.5,14.12051305,0.0401,0.239584107,0.116504854,90.275,1.240326203,2171.5,38.95101819,6.675,0.171225529,-1.280833333,0.167790905,53.81833333,0.171984848,6.051666667,0.05339958,-0.45,0.212431807,0.971666667,0.115902258,224.5,4.757768767,0.055583333,0.145271194,0.339805825,84.04857143,0.81938694,1249.457143,81.86514839,6.72,0.169428104,-1.334857143,0.087021682,53.78514286,0.166192154,5.964,0.040887219,-0.632857143,0.15943967,0.124857143,0.213863225,241.1142857,6.841789534,-0.015714286,0.166341882,0.184466019,76.31052632,1.034888473,2629.842105,71.86118034,6.531578947,0.166842013,-1.13,0.076594169,53.96263158,0.167359962,6.126842105,0.058314533,0.765263158,0.246720004,-0.586842105,0.278209606,49.36842105,4.258462507,-0.034,0.099517168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
