player_name
"Anderson, Tyler"
"Bassitt, Chris"
"Bello, Brayan"
"BerrÃ­os, JosÃ©"
"Bibee, Tanner"
"Blanco, Ronel"
"Brown, Hunter"
"Burnes, Corbin"
"Canning, Griffin"
"Castillo, Luis"
"Cease, Dylan"
"Corbin, Patrick"
"Cortes, Nestor"
"Crawford, Kutter"
"Eflin, Zach"
"Eovaldi, Nathan"
"Fedde, Erick"
"Feltner, Ryan"
"Flaherty, Jack"
"Fried, Max"
"Gausman, Kevin"
"Gibson, Kyle"
"Gilbert, Logan"
"Gomber, Austin"
"Gore, MacKenzie"
"Gray, Sonny"
"Houck, Tanner"
"Imanaga, Shota"
"Irvin, Jake"
"Keller, Mitch"
"Kikuchi, Yusei"
"King, Michael"
"Kirby, George"
"Lugo, Seth"
"LÃ³pez, Pablo"
"Manaea, Sean"
"Mikolas, Miles"
"Miller, Bryce"
"Morton, Charlie"
"Nola, Aaron"
"Ober, Bailey"
"Peralta, Freddy"
"Pfaadt, Brandon"
"Quintana, Jose"
"Ragans, Cole"
"Rea, Colin"
"RodÃ³n, Carlos"
"Sale, Chris"
"Sears, JP"
"Severino, Luis"
"Singer, Brady"
"Skubal, Tarik"
"SÃ¡nchez, Cristopher"
"Taillon, Jameson"
"Valdez, Framber"
"Wacha, Michael"
"Webb, Logan"
"Wheeler, Zack"
